id,object,group,description,variable_type,custom_type,address,offsets,bit_start,bit_length,string_length,unicode,path,dropdown
12603,Club,Finances,Director Emoluments,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x78 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Director Emoluments,
12860,Club,Finances,Dividends,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x18 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Dividends,
11622,Club,Finances,Ground Maintenance,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0xC -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Ground Maintenance,
24086,Club,Finances,Insurance,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x94 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Insurance,
24184,Club,Finances,League Fines,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x8 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > League Fines,
24087,Club,Finances,Loan Fees,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x98 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Loan Fees,
24185,Club,Finances,Loan Repayments and Interest,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x4 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Loan Repayments and Interest,
11617,Club,Finances,Loyalty Bonuses,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x20 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Loyalty Bonuses,
11619,Club,Finances,Match Day Expenses,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x74 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Match Day Expenses,
11605,Club,Finances,Non-Football Costs,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x7C -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Non-Football Costs,
11603,Club,Finances,Other,Custom,United Kingdom Pound,ptrClub,cluo.Cetm -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Other,
12434,Club,Finances,Player Wages,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x10 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Player Wages,
12605,Club,Finances,Scouting Costs,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x88 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Scouting Costs,
11598,Club,Finances,Staff Wages,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x14 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Staff Wages,
24186,Club,Finances,Tax - Income Tax,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x2C -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Tax - Income Tax,
24187,Club,Finances,Tax - Employer Tax,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x30 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Tax - Employer Tax,
12433,Club,Finances,Tax - Corporation Tax,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x34 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Tax - Corporation Tax,
12597,Club,Finances,Tax - VAT,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x38 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Tax - VAT,
